_id,Ward_No,Ward Name,"Population
#"
1,1,Kempegowda Ward,23790
2,2,Chowdeswari Ward,25080
3,3,Atturu,42270
4,4,Yelahanka Satellite Town,36260
5,5,Jakkuru,43510
6,6,Thanisandra,50220
7,7,Byatarayanapura,26200
8,8,Kodigehalli,23650
9,9,Vidyaranyapura,29030
10,10,Dodda Bommasandra,17350
11,11,Kuvempu Nagar,20390
12,12,Shettihalli,31930
13,13,Mallasandra,16130
14,14,Bagalakunte,34690
15,15,T Dasarahalli,13640
16,16,Jalahalli,18990
17,17,J P Park,18780
18,18,Radhakrishna Temple Ward,22170
19,19,Sanjaya Nagar,1720
20,20,Ganga Nagar,16470
21,21,Hebbala,14890
22,22,Vishwanath Nagenahalli,28860
23,23,Nagavara,7680
24,24,HBR Layout,10430
25,25,Horamavu,40040
26,26,Ramamurthy Nagar,30420
27,27,Banasavadi,27270
28,28,Kammanahalli,14270
29,29,Kacharkanahalli,16710
30,30,Kadugondanahalli,15610
31,31,Kushal Nagar,9930
32,32,Kaval Bairasandra,18810
33,33,Manorayana Palya,18040
34,34,Gangenahalli,18890
35,35,Aramane Nagara,26700
36,36,Mattikere,24840
37,37,Yeshwanthpura,9900
38,38,HMT Ward,18450
39,39,Chokkasandra,20880
40,40,Dodda Bidarakallu,35890
41,41,Peenya Industrial Area,25180
42,42,Lakshmi Devi Nagar,23540
43,43,Nandini Layout,28640
44,44,Marappana Palya,13030
45,45,Malleshwaram,16730
46,46,Jayachamarajendra Nagar,22800
47,47,Devara Jeevanahalli,11160
48,48,Muneshwara Nagar,6660
49,49,Lingarajapura,13120
50,50,Benniganahalli,21030
51,51,Vijnanapura,18470
52,52,KR Puram,24530
53,53,Basavanapura,22130
54,54,Hudi,34780
55,55,Devasandra,8900
56,56,A Narayanapura,29940
57,57,C.V. Raman Nagar,16390
58,58,New Tippa Sandra,21270
59,59,Maruthi Seva Nagar,17470
60,60,Sagayara Puram,10170
61,61,SK Garden,8030
62,62,Ramaswamy Palya,14180
63,63,Jaya Mahal,27280
64,64,Raj Mahal Guttahalli,19510
65,65,Kadu Malleshwar Ward,12780
66,66,Subramanya Nagar,19830
67,67,Nagapura,25350
68,68,Mahalakshmipuram,23800
69,69,Laggere,35790
70,70,Rajagopal Nagar,22100
71,71,Hegganahalli,18950
72,72,Herohalli,35610
73,73,Kottegepalya,50090
74,74,Shakthi Ganapathi Nagar,11740
75,75,Shankar Matt,21190
76,76,Gayithri Nagar,14570
77,77,Dattatreya Temple Ward,18540
78,78,Pulakeshi Nagar,22780
79,79,Sarvagna Nagar,10080
80,80,Hoysala Nagar,29550
81,81,Vijnana Nagar,22610
82,82,Garudachar palya,36630
83,83,Kadugodi,33770
84,84,Hagadur,28450
85,85,Dodda Nekkundi,39970
86,86,Marathahalli,14610
87,87,HAL Airport,24550
88,88,Jeevanbhima Nagar,16180
89,89,Jogupalya,25010
90,90,Halsoor,25760
91,91,Bharathi Nagar,16590
92,92,Shivaji Nagar,16310
93,93,Vasanth Nagar,15950
94,94,Gandhi Nagar,19090
95,95,Subhash Nagar,11910
96,96,Okalipuram,14330
97,97,Dayananda Nagar,11620
98,98,Prakash Nagar,9040
99,99,Rajaji Nagar,13670
100,100,Basaveshwara Nagar,11550
101,101,Kamakshipalya,15610
102,102,Vrisahbhavathi Nagar,11630
103,103,Kaveripura,19710
104,104,Govindaraja Nagar,10670
105,105,Agrahara Dasarahalli,13810
106,106,Dr.Raj Kumar Ward,14750
107,107,Shiva Nagar,10350
108,108,Sri Rama Mandir Ward,20320
109,109,Chickpete,10300
110,110,Sampangiram Nagar,20180
111,111,Shantala Nagar,15470
112,112,Domlur,19710
113,113,Konena Agrahara,23730
114,114,Agaram,11090
115,115,Vannar Pet,9620
116,116,Nilasandra,9870
117,117,Shanthi Nagar,11370
118,118,Sudham Nagar,14350
119,119,Dharmaraya Swamy Temple,17310
120,120,Cottonpete,9720
121,121,Binni Pete,6980
122,122,Kempapura Agrahara,6370
123,123,Vijaya Nagar,16360
124,124,Hosahalli,13280
125,125,Marenahalli,6600
126,126,Maruthi Mandir Ward,18500
127,127,Mudalapalya,19890
128,128,Nagarabhavi,26130
