year,population,growth rate,rainfall(mm)
2000,5581000,3.26,1193.9
2001,5779000,3.55,1058.5
2002,6015000,4.08,772
2003,6262000,4.11,678.7
2004,6519000,4.10,1026.1
2005,6786000,4.10,1350.8
2006,7064000,4.10,639.1
2007,7354000,4.11,984.6
2008,7656000,4.11,1096.4
2009,7969000,4.09,975.6
2010,8296000,4.10,960.1
2011,8636000,4.10,1172
2012,8990000,4.10,725.2
2013,9358000,4.09,1185.4
2014,9742000,4.10,1167
2015,10141000,4.10,1278.6
2016,10557000,4.10,791.4
2017,10990000,4.10,1696
2018,11440000,4.09,617.7
2019,11883000,3.87,960.1
2020,12327000,3.74,1212.8
2021,12765000,3.55,1511.1
2022,13193000,3.35,1957.7
2023,13608000,3.15,1020
